City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,klyuchi,52.2667,79.1667,17.48,62,95,6.8,RU,2024-08-25 05:43:53
136,ambilobe,-13.2,49.05,28.36,43,66,2.79,MG,2024-08-25 05:43:54
137,keflavik,64.0049,-22.5624,6.24,75,75,7.72,IS,2024-08-25 05:43:56
138,vilyuchinsk,52.9306,158.4028,18.15,80,95,3.34,RU,2024-08-25 05:43:57
139,hami,42.8,93.45,34.06,21,0,1.34,CN,2024-08-25 05:43:58
140,pochep,52.9336,33.4464,21.92,52,2,1.11,RU,2024-08-25 05:43:59
141,gamba,-2.65,10.0,22.6,82,87,1.4,GA,2024-08-25 05:44:01
142,haiku-pauwela,20.9219,-156.3051,24.73,94,86,5.81,US,2024-08-25 05:44:03
143,takoradi,4.8845,-1.7554,22.88,94,87,1.74,GH,2024-08-25 05:44:04
144,dudinka,69.4058,86.1778,13.12,67,81,2.09,RU,2024-08-25 05:44:06
145,pacific grove,36.6177,-121.9166,16.72,90,0,0.45,US,2024-08-25 05:44:07
146,kostel,42.8887,25.995,24.41,33,23,1.88,BG,2024-08-25 05:44:08
147,port elizabeth,-33.918,25.5701,14.06,92,75,1.79,ZA,2024-08-25 05:40:05
148,talnakh,69.4865,88.3972,14.7,57,93,2.83,RU,2024-08-25 05:44:11
149,puerto ayora,-0.7393,-90.3518,19.19,97,77,4.21,EC,2024-08-25 05:44:12
150,nemuro,43.3236,145.575,16.32,85,49,4.99,JP,2024-08-25 05:44:13
151,fortuna,40.5982,-124.1573,13.29,95,0,0.0,US,2024-08-25 05:44:14
152,pangkalanbuun,-2.6833,111.6167,29.51,62,80,1.54,ID,2024-08-25 05:44:16
153,invercargill,-46.4,168.35,7.79,76,91,0.89,NZ,2024-08-25 05:44:17
154,malvan,16.0667,73.4667,27.23,85,98,8.2,IN,2024-08-25 05:44:18
155,morehead city,34.7229,-76.726,23.35,86,78,4.02,US,2024-08-25 05:44:06
156,ugoofaaru,5.6667,73.0,27.95,75,100,4.11,MV,2024-08-25 05:44:21
157,escanaba,45.7453,-87.0646,16.98,100,0,0.0,US,2024-08-25 05:44:22
158,east london,-33.0153,27.9116,14.52,82,0,3.6,ZA,2024-08-25 05:44:23
159,lalmohan,22.3384,90.7419,28.04,83,99,2.88,BD,2024-08-25 05:44:24
160,ayorou,14.7308,0.9174,26.6,70,16,4.48,NE,2024-08-25 05:44:26
161,grenada,37.1882,-3.6067,23.28,58,0,1.03,ES,2024-08-25 05:44:27
162,la passe,45.5549,-0.8967,13.55,88,0,3.43,FR,2024-08-25 05:44:28
163,bilibino,68.0546,166.4372,9.31,62,94,1.0,RU,2024-08-25 05:44:29
164,ateli mandi,28.1,76.2833,31.99,55,9,7.57,IN,2024-08-25 05:44:31
165,bairnsdale,-37.8333,147.6167,25.59,50,83,1.34,AU,2024-08-25 05:44:32
166,krasnyy sulin,47.8922,40.0704,26.93,28,0,5.53,RU,2024-08-25 05:44:33
167,whitehorse,60.7161,-135.0538,11.43,68,100,5.66,CA,2024-08-25 05:44:34
168,ellsworth,44.5434,-68.4195,16.61,94,0,0.0,US,2024-08-25 05:44:35
169,kerikeri,-35.2268,173.9474,11.65,88,62,1.92,NZ,2024-08-25 05:44:37
170,konosha,60.9736,40.257,16.91,72,100,2.6,RU,2024-08-25 05:44:38
171,new norfolk,-42.7826,147.0587,17.18,74,98,3.09,AU,2024-08-25 05:44:39
172,buta,2.7858,24.73,22.43,97,84,1.2,CD,2024-08-25 05:44:40
173,bridlington,54.0831,-0.1919,11.75,87,51,2.24,GB,2024-08-25 05:44:42
174,port lincoln,-34.7333,135.8667,14.87,65,44,13.34,AU,2024-08-25 05:44:43
175,bikenibeu village,1.3673,173.1241,30.98,70,20,1.03,KI,2024-08-25 05:44:44
176,aasiaat,68.7098,-52.8699,3.67,81,69,7.7,GL,2024-08-25 05:44:45
177,port augusta,-32.5,137.7667,22.24,30,2,12.26,AU,2024-08-25 05:44:46
178,dunedin,-45.8742,170.5036,6.0,98,100,2.2,NZ,2024-08-25 05:44:48
179,monrovia,6.3005,-10.7969,24.6,85,99,7.33,LR,2024-08-25 05:44:49
180,murzuq,25.9155,13.9184,29.61,38,0,4.94,LY,2024-08-25 05:44:50
181,gudalur,9.6833,77.2667,27.93,61,100,4.42,IN,2024-08-25 05:44:51
182,kuqa,41.7278,82.9364,30.97,24,73,1.8,CN,2024-08-25 05:44:53
183,lata,40.1629,-8.3327,11.65,96,4,1.79,PT,2024-08-25 05:44:54
184,bethel,41.3712,-73.414,17.96,86,0,1.54,US,2024-08-25 05:44:55
185,crane,31.3974,-102.3501,29.85,35,26,4.89,US,2024-08-25 05:44:56
186,eau claire,44.8114,-91.4985,23.21,83,0,2.57,US,2024-08-25 05:42:15
187,palmer,42.1584,-72.3287,16.62,86,75,1.54,US,2024-08-25 05:44:59
188,brattleboro,42.8509,-72.5579,17.82,91,29,0.85,US,2024-08-25 05:45:00
189,poxoreo,-15.8372,-54.3892,19.09,65,2,2.67,BR,2024-08-25 05:45:01
190,mata-utu,-13.2816,-176.1745,26.9,80,100,9.64,WF,2024-08-25 05:40:19
191,kushiro,42.975,144.3747,19.53,82,75,6.17,JP,2024-08-25 05:45:04
192,ulmeni,47.4667,23.3,21.09,31,53,2.95,RO,2024-08-25 05:45:05
193,brokopondo,4.75,-55.1667,26.44,78,52,4.46,SR,2024-08-25 05:45:06
194,puerto armuelles,8.2833,-82.8667,25.05,88,100,1.34,PA,2024-08-25 05:45:07
195,pisco,-13.7,-76.2167,16.03,82,0,1.54,PE,2024-08-25 05:45:09
196,san patricio,28.017,-97.5169,27.97,66,5,4.14,US,2024-08-25 05:45:10
197,cide,41.8921,33.0044,25.56,65,0,2.08,TR,2024-08-25 05:45:11
198,portage la prairie,49.9728,-98.2926,23.83,60,6,6.89,CA,2024-08-25 05:45:12
199,remire-montjoly,4.9167,-52.2667,25.02,94,40,0.0,GF,2024-08-25 05:45:14
200,dhuusamarreeb,5.535,46.3861,27.47,61,100,10.33,SO,2024-08-25 05:45:15
201,kupang,-10.1667,123.5833,31.58,50,24,7.81,ID,2024-08-25 05:45:16
202,asbestos,45.7668,-71.9324,14.86,95,84,1.8,CA,2024-08-25 05:45:17
203,magadan,59.5667,150.8,15.03,56,100,3.35,RU,2024-08-25 05:45:18
204,mar del plata,-38.0023,-57.5575,7.27,77,100,4.63,AR,2024-08-25 05:35:05
205,ola,59.5833,151.2833,15.07,54,100,3.18,RU,2024-08-25 05:45:21
206,santa elena de uairen,4.6167,-61.1333,18.53,89,25,0.92,VE,2024-08-25 05:45:22
207,debeljaca,45.0711,20.6,25.7,30,94,2.4,RS,2024-08-25 05:45:23
